Product_ID,links,title,short_title,price,description,Date_Time
33,https://www.bakingo.com/sites/default/files/styles/might_like/public/heartilicious-love-cake0362blac-310118-A.jpg?itok=OEmsINjk,Heartilicious Love,Black Forest Heart Gateau,Rs. 549,"Baked in the flavors of love, drown yourself in the scrumptiousness of the gateau so good!",2018-02-24 21:04:25.460425
34,https://www.bakingo.com/sites/default/files/styles/might_like/public/classic-one-cake0364chtr-310118-A.jpg?itok=EoioZtVS,Classic One,Fondant Heart Truffle Cake,Rs. 549,Nothing defines love at first bite better than this ultimate mouth-watering chocolate cake,2018-02-24 21:04:25.460425
35,https://www.bakingo.com/sites/default/files/styles/might_like/public/velvetilicious-bliss-cake0366redv-310118-A.jpg?itok=HgjQEucq,Velvetilicious Bliss,Red Velvet with 3 Fondant Heart Cake,Rs. 549,Keep up with the trending moreish cakes and feed your sweet tooth demon hidden inside you!,2018-02-24 21:04:25.460425
36,https://www.bakingo.com/sites/default/files/styles/might_like/public/hearty-sweetness-cake0367vani-310118-A.jpg?itok=EdHOdMNR,Hearty Sweetness,Vanilla Fondant Cake,Rs. 499,Bow down to the fairest of all blushing with a delectable pounding heart so rich in flavor and taste.,2018-02-24 21:04:25.460425
37,https://www.bakingo.com/sites/default/files/styles/might_like/public/eternal-berry-love-cake0368stra-310118-A.jpg?itok=TSBs_dYc,Eternal Berry Love,Choco hearts Strawberry Cake,Rs. 549,"With a decadent heartilicous cake like this, every month will definitely be February.",2018-02-24 21:04:25.460425
38,https://www.bakingo.com/sites/default/files/styles/might_like/public/heart-shaped-choco-vanilla-cake-A.jpg?itok=3lDMYMpf,Heart-licious Pleasure,Heart Shaped Choco Vanilla Cake,Rs. 950,What happens when Chocolate & Vanilla come together? A top deck cake that is jaw-droppingly delicious.,2018-02-24 21:04:25.460425
39,https://www.bakingo.com/sites/default/files/styles/might_like/public/coffee-walnut-cake-A.jpg?itok=IK160LG6,Nutty Coffee Secret,Coffee Walnut Cake,Rs. 600,An overwhelming blend of chocolate cake and espresso-infused butter cream icing along with crunchy walnut.,2018-02-24 21:04:25.460425
40,https://www.bakingo.com/sites/default/files/styles/might_like/public/heart-shaped-fondant-vanilla-cake-A.jpg?itok=H24nreYO,Snow Kissed,Heart Shaped Fondant Vanilla Cake,Rs. 799,We baked and created magic in every slice with this Fondant-Vanilla-Masterpiece!,2018-02-24 21:04:25.460425
41,https://www.bakingo.com/sites/default/files/styles/might_like/public/simple-kiwi-cake-A.jpg?itok=wjUWG16J,Kiwi Ecstasy,Simple Kiwi Cake,Rs. 525,"Sweet Vanilla & Exotic Kiwi have come together in intensely whipped cream to make you go 'Wow.""",2018-02-24 21:04:25.460425
42,https://www.bakingo.com/sites/default/files/styles/might_like/public/heart-shaped-black-forest-vanilla-cake-A.jpg?itok=rxiPKYyc,Torrid Affair,Heart Shaped Black Forest Vanilla Cake,Rs. 699,The internet has a new obsession - Choco-Vanilla & it's time to slice into its spellbinding sweetness.,2018-02-24 21:04:25.460425
43,https://www.bakingo.com/sites/default/files/styles/might_like/public/strawberry-seduction-cake-A.jpg?itok=sjCCrD4-,Strawberry Seduction,Strawberry Cake,Rs. 450,Take a bite of this Blushing Pink Love and indulge yourself in the creamy contours of strawberry ecstasy!,2018-02-24 21:04:25.460425
